supplier_id,amount,payment_count,payment_ids,supplier_name
S004,37813.64,2,"PAY-01621, PAY-01622",Dunder Mifflin Paper Co.
S006,51405.11,2,"PAY-01623, PAY-01624",Vandelay Industrial
S008,15616.84,2,"PAY-01625, PAY-01626",Pied Piper Systems
S020,49617.9,2,"PAY-01627, PAY-01628",Supplier 020 LLC
S021,12214.36,2,"PAY-01629, PAY-01630",Supplier 021 LLC
S022,54181.81,2,"PAY-01631, PAY-01632",Supplier 022 LLC
S023,43852.96,2,"PAY-01633, PAY-01634",Supplier 023 LLC
S024,27557.29,2,"PAY-01635, PAY-01636",Supplier 024 LLC
S030,67618.54,2,"PAY-01637, PAY-01638",Supplier 030 LLC
S031,38341.25,2,"PAY-01639, PAY-01640",Supplier 031 LLC
S032,12824.9,2,"PAY-01641, PAY-01642",Supplier 032 LLC
S033,35726.25,2,"PAY-01643, PAY-01644",Supplier 033 LLC
