candidate_id,candidate_type,supplier_id,supplier_name,review_status,review_basis,management_explanation,evidence_ref
T003-I-001,duplicate_invoice_number,S004,Dunder Mifflin Paper Co.,unresolved,Supporting documentation was insufficient,Finance could not demonstrate that the repeated invoice was valid,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-002,duplicate_invoice_number,S006,Vandelay Industrial,unresolved,Supporting documentation was insufficient,Finance could not demonstrate that the repeated invoice was valid,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-003,duplicate_invoice_number,S008,Pied Piper Systems,unresolved,Supporting documentation was insufficient,Finance could not demonstrate that the repeated invoice was valid,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-004,duplicate_invoice_number,S020,Supplier 020 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-005,duplicate_invoice_number,S021,Supplier 021 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-006,duplicate_invoice_number,S022,Supplier 022 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-007,duplicate_invoice_number,S023,Supplier 023 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-I-008,duplicate_invoice_number,S024,Supplier 024 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-001,repeated_payment_amount,S004,Dunder Mifflin Paper Co.,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-002,repeated_payment_amount,S006,Vandelay Industrial,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-003,repeated_payment_amount,S008,Pied Piper Systems,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-004,repeated_payment_amount,S020,Supplier 020 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-005,repeated_payment_amount,S021,Supplier 021 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-006,repeated_payment_amount,S022,Supplier 022 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-007,repeated_payment_amount,S023,Supplier 023 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-008,repeated_payment_amount,S024,Supplier 024 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-009,repeated_payment_amount,S030,Supplier 030 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-010,repeated_payment_amount,S031,Supplier 031 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-011,repeated_payment_amount,S032,Supplier 032 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T003-P-012,repeated_payment_amount,S033,Supplier 033 LLC,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
